live_id,species,user_id,user_name,gender,time,content,label
YDSZB666,珠宝首饰,111111,小***,女,2025/4/9 22:55,"源头珠宝市场,福袋18K金项链",0
YDSZB666,珠宝首饰,111111,含***,女,2025/4/9 22:55,黄水晶,0
YDSZB666,珠宝首饰,111111,诺***,女,2025/4/9 22:55,老板娘脖子上的,1
YDSZB666,珠宝首饰,111111,浅***,女,2025/4/9 22:55,心想事成,0
YDSZB666,珠宝首饰,111111,慕***,女,2025/4/9 22:55,粉水晶,1
YDSZB666,珠宝首饰,111111,精***,女,2025/4/9 22:55,有粉色吗,1
YDSZB666,珠宝首饰,111111,数***,女,2025/4/9 22:55,寓意是什么,1
YDSZB666,珠宝首饰,111111,易***,女,2025/4/9 22:55,老板娘的耳坠,1
YDSZB666,珠宝首饰,111111,(***,女,2025/4/9 22:55,黄水晶黄水晶黄水晶黄水晶黄水晶黄水晶,1
YDSZB666,珠宝首饰,111111,海***,女,2025/4/9 22:55,老板娘的耳钩,1
YDSZB666,珠宝首饰,111111,我***,女,2025/4/9 22:55,大颗的,0
YDSZB666,珠宝首饰,111111,隆***,女,2025/4/9 22:55,老板娘戴的项链,1
YDSZB666,珠宝首饰,111111,小***,女,2025/4/9 22:55,是水晶嘛,1
YDSZB666,珠宝首饰,111111,安***,女,2025/4/9 22:55,老板娘的项链,1
YDSZB666,珠宝首饰,111111,仙***,女,2025/4/9 22:55,紫锂辉吗,1
YDSZB666,珠宝首饰,111111,心***,女,2025/4/9 22:55,看啥都想买[比心],0
YDSZB666,珠宝首饰,111111,向***,女,2025/4/9 22:55,大米是,0
YDSZB666,珠宝首饰,111111,失***,女,2025/4/9 22:56,这是啥?,1
YDSZB666,珠宝首饰,111111,海***,女,2025/4/9 22:56,这个好看,1
YDSZB666,珠宝首饰,111111,安***,女,2025/4/9 22:56,这啥呀,0
YDSZB666,珠宝首饰,111111,诺***,女,2025/4/9 22:56,老板娘脖子上的,1
YDSZB666,珠宝首饰,111111,成***,女,2025/4/9 22:56,大的好,1
YDSZB666,珠宝首饰,111111,T***,女,2025/4/9 22:56,老板娘的耳坠,1
YDSZB666,珠宝首饰,111111,璇***,女,2025/4/9 22:56,这是什么,1
YDSZB666,珠宝首饰,111111,潇***,女,2025/4/9 22:56,好好看,1
YDSZB666,珠宝首饰,111111,x***,女,2025/4/9 22:57,对比一下,1
YDSZB666,珠宝首饰,111111,追***,女,2025/4/9 22:57,粉水晶有吗?,1
YDSZB666,珠宝首饰,111111,゛***,女,2025/4/9 22:57,9好看,1
YDSZB666,珠宝首饰,111111,燕***,女,2025/4/9 22:57,你家的东西最美,0
YDSZB666,珠宝首饰,111111,梨***,女,2025/4/9 22:57,粉水晶粉水晶,1
YDSZB666,珠宝首饰,111111,V***,女,2025/4/9 22:57,老板娘粉色,1
YDSZB666,珠宝首饰,111111,s***,女,2025/4/9 22:57,大米数的,1
YDSZB666,珠宝首饰,111111,陈***,女,2025/4/9 22:57,紫水晶,1
YDSZB666,珠宝首饰,111111,思***,女,2025/4/9 22:57,该买多大?,1
YDSZB666,珠宝首饰,111111,郭***,女,2025/4/9 22:57,是紫水晶耳钉吗,1
YDSZB666,珠宝首饰,111111,S***,女,2025/4/9 22:57,同品质吗?,1
YDSZB666,珠宝首饰,111111,阳***,女,2025/4/9 22:57,380的那,0
YDSZB666,珠宝首饰,111111,A***,女,2025/4/9 22:57,给力给力给力给力给力,0
YDSZB666,珠宝首饰,111111,因***,女,2025/4/9 22:57,老板娘项链,1
YDSZB666,珠宝首饰,111111,A***,女,2025/4/9 22:57,给力给力给力给力给力给力给力给力个,0
YDSZB666,珠宝首饰,111111,细***,女,2025/4/9 22:57,有珍珠耳钉吗,1
YDSZB666,珠宝首饰,111111,A***,女,2025/4/9 22:57,支持支持着,0
