live_id,species,user_id,user_name,gender,time,content,label1,label2,label3,label
bigbosswarehouse,Daily Essentials,unknown,Donna ,unknown,2025/4/24 17:58,Is it AA batteries Sam?,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,Sarah Louise Barnes,unknown,2025/4/24 17:58,under stairs cupboard perfect,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,OLD SCHOOl BMX UK,unknown,2025/4/24 17:58,I like them,0,0,1,0
bigbosswarehouse,Daily Essentials,unknown,Sarah Louise Barnes,unknown,2025/4/24 17:58,summer house,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Crochet_Critter,unknown,2025/4/24 17:58,airing cupboard,1,1,0,1
bigbosswarehouse,Daily Essentials,unknown,Doreen Mudzingwa,unknown,2025/4/24 17:58,Good morning,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Leanna x,unknown,2025/4/24 17:58,Link 1 set 10.. motion sensor lights.. 10 for 4,0,0,1,0
bigbosswarehouse,Daily Essentials,unknown,Donna ,unknown,2025/4/24 17:58,Perfect thanks,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Gemma Parsons,unknown,2025/4/24 17:58,Do you know when the charging wires I brought last week should be with us ?.,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,Toni,unknown,2025/4/24 17:58,what is it please,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,Denise,unknown,2025/4/24 17:58,Got 2 sets are they AA?,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,Denise,unknown,2025/4/24 17:58,Thank you,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Crochet_Critter,unknown,2025/4/24 17:58,loft hatch,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,Hayat,unknown,2025/4/24 17:58,just ordered,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,zowie,unknown,2025/4/24 17:59,Burger van,1,1,0,1
bigbosswarehouse,Daily Essentials,unknown,Michele Kirk-Willard,unknown,2025/4/24 17:59,bargain,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Christine,unknown,2025/4/24 17:59,Ordered 1,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Heather48,unknown,2025/4/24 17:59,Got 2 sets,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Emma hayter,unknown,2025/4/24 17:59,missed it,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,AmyB ,unknown,2025/4/24 17:59,Sam you got any of them in dartford?,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,Nade( Just Me),unknown,2025/4/24 18:00,I just sit back relax & wait for my Evri driver to knock my door loads of orders coming lol exciting,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Touchofloveuk,unknown,2025/4/24 18:00,Guys Check us Out,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,AmyB ,unknown,2025/4/24 18:00,No worries thank you for answering.,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Caroline Goold,unknown,2025/4/24 18:00,only just missed out,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Purple_Lady,unknown,2025/4/24 18:00,Just got my Duvet and garden post lights. Brilliant as always. Thanks,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,suzi,unknown,2025/4/24 18:00,450 to go for matts marathon goal,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,shay ☆,unknown,2025/4/24 18:00,any ritual gift set,1,1,0,1
bigbosswarehouse,Daily Essentials,unknown,rcsszmaa,unknown,2025/4/24 18:00,what number are the cups,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,groovychick ,unknown,2025/4/24 18:01,450 fidget toy go,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,Christine,unknown,2025/4/24 18:01,Got my chairs they are lovely thank you,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Blondie,unknown,2025/4/24 18:01,what are the bathroom set you was just on about ?,1,0,1,1
bigbosswarehouse,Daily Essentials,unknown,shay ☆,unknown,2025/4/24 18:01,any ritual set,1,0,0,0
bigbosswarehouse,Daily Essentials,unknown,zowie,unknown,2025/4/24 18:02,Ordered,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Nade( Just Me),unknown,2025/4/24 18:02,These are amazing value and heavy,1,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Rachel,unknown,2025/4/24 18:02,I received mine yesterday they are lush,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Blondie,unknown,2025/4/24 18:02,thank you..  wow,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Sharon Devlin,unknown,2025/4/24 18:03,ì have 6 of the bath set and they are truly nice,0,0,1,0
bigbosswarehouse,Daily Essentials,unknown,AmyB ,unknown,2025/4/24 18:03,Got 4 sets thank you!,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,zowie,unknown,2025/4/24 18:03,Ordered 3 thank you,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,,unknown,2025/4/24 18:04,Can I see Greek blanket please,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,Haych,unknown,2025/4/24 18:04,What is number 7?,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,K Ball567,unknown,2025/4/24 18:04,When will delivery be if I order today?,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,val,unknown,2025/4/24 18:04,received my 1 mystery item ordered 20 amazing value,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,x Nikki x,unknown,2025/4/24 18:05,are you doing pillows today aswell?,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,BellaSiroor,unknown,2025/4/24 18:05,Hey Sam i just received an email my order is cancelled!!!,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Jenny Smith,unknown,2025/4/24 18:05,people can see how many orders he has to pack delivery will take as long as it takes,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,x Nikki x,unknown,2025/4/24 18:05,thank you,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Peachyface,unknown,2025/4/24 18:07,Can you pin the Greek throws please,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,zowie,unknown,2025/4/24 18:07,Ordered,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,smith xx,unknown,2025/4/24 18:07,I love minex,1,1,0,1
bigbosswarehouse,Daily Essentials,unknown,jojo74_xx,unknown,2025/4/24 18:07,Can I see the other colours?,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,,unknown,2025/4/24 18:07,Thanks for showing,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Hev,unknown,2025/4/24 18:07,my son loves his sam,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Blondie,unknown,2025/4/24 18:07,thank you,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Sharon Devlin,unknown,2025/4/24 18:07,my 2 king size greek pattern throws arrived and are brilliant,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Rachael Wilson ,unknown,2025/4/24 18:07,I want one of these but do I need it?,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,lucyreed,unknown,2025/4/24 18:07,received my pillows love them,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Blondie,unknown,2025/4/24 18:07,the ritual bath sets I was talking about,1,1,0,1
bigbosswarehouse,Daily Essentials,unknown,,unknown,2025/4/24 18:07,Please can I see Greek throw,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,Blondie,unknown,2025/4/24 18:07,"just ordered 4, is it possible to have a variety please",0,1,1,1
bigbosswarehouse,Daily Essentials,unknown,groovychick ,unknown,2025/4/24 18:17,I got mine yesterday with the heat lamp for out side,0,1,0,0
bigbosswarehouse,Daily Essentials,unknown,skippyevra,unknown,2025/4/24 18:17,Have you shown the throws ?,0,0,1,0
bigbosswarehouse,Daily Essentials,unknown,Stormcat,unknown,2025/4/24 18:17,Great quality item.,1,1,0,1
bigbosswarehouse,Daily Essentials,unknown,skippyevra,unknown,2025/4/24 18:17,Throws please,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,Claire,unknown,2025/4/24 18:17,"got my pillows yesterday, really lovely. thankyou",0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,shane smith,unknown,2025/4/24 18:17,How good are they,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,Snoozeyaloose,unknown,2025/4/24 18:17,Just making more ice cream thanks to big boss,0,0,0,0
bigbosswarehouse,Daily Essentials,unknown,jojo74_xx,unknown,2025/4/24 18:17,Can you show the other colours in throws please,1,1,1,1
bigbosswarehouse,Daily Essentials,unknown,,unknown,2025/4/24 18:17,Them boxes behind you are giving me anxiety,0,1,0,0
